Date,Close,High,Low,Open,Volume,SMA_7,RSI_14
2009-01-02,2.7179999351501465,2.7265000343322754,2.553499937057495,2.567500114440918,145928000,,
2009-01-05,2.703000068664551,2.7869999408721924,2.65149998664856,2.7864999771118164,190196000,,
2009-01-06,2.868000030517578,2.9110000133514404,2.6875,2.727499961853028,221602000,,
2009-01-07,2.809999942779541,2.8475000858306885,2.7674999237060547,2.814500093460083,158854000,,
2009-01-08,2.8580000400543213,2.865999937057495,2.7290000915527344,2.749500036239624,131558000,,
2009-01-09,2.775500059127808,2.8499999046325684,2.734999895095825,2.845999956130981,133682000,,
2009-01-12,2.595999956130981,2.7149999141693115,2.5434999465942383,2.7060000896453857,191126000,2.7612142903464183,
2009-01-13,2.572499990463257,2.664499998092652,2.5374999046325684,2.5480000972747803,157664000,2.7404285839625766,
2009-01-14,2.424499988555908,2.505000114440918,2.407000064849853,2.505000114440918,208852000,2.700642858232771,
2009-01-15,2.572000026702881,2.611500024795532,2.381500005722046,2.427999973297119,232346000,2.6583571434020996,
2009-01-16,2.5794999599456787,2.616499900817871,2.4765000343322754,2.5899999141693115,165164000,2.6254285744258334,
2009-01-20,2.421999931335449,2.5850000381469727,2.4135000705718994,2.5374999046325684,135344000,2.563142844608852,
2009-01-21,2.5269999504089355,2.5344998836517334,2.4124999046325684,2.4655001163482666,116590000,2.5276428290775845,
2009-01-22,2.496999979019165,2.5439999103546143,2.4130001068115234,2.470999956130981,142666000,2.5134999752044678,40.53127910642273
2009-01-23,2.531500101089477,2.571000099182129,2.422499895095825,2.444999933242798,115866000,2.507642848151071,42.23887613288493
2009-01-26,2.4814999103546143,2.5445001125335693,2.4260001182556152,2.509000062942505,143114000,2.5157856941223145,41.043264518798615
2009-01-27,2.421999931335449,2.5209999084472656,2.385999917984009,2.4649999141693115,174764000,2.494357109069824,30.282940115014227
2009-01-28,2.5179998874664307,2.57450008392334,2.448499917984009,2.486000061035156,161132000,2.4855713844299316,37.51069467074486
2009-01-29,2.5,2.5924999713897705,2.4570000171661377,2.497999906539917,359336000,2.49671425138201,34.28446074184377
2009-01-30,2.940999984741211,2.986999988555908,2.861999988555908,2.868000030517578,795662000,2.5558571134294783,55.525873308442264
2009-02-02,3.057499885559082,3.0999999046325684,2.906500101089477,2.928499937057495,386486000,2.6359285286494663,66.08574193718883
2009-02-03,3.179500102996826,3.2100000381469727,3.0,3.0434999465942383,293892000,2.7284999574933733,69.7977828164151
2009-02-04,3.052999973297119,3.171999931335449,3.0415000915527344,3.1689999103546143,274526000,2.810142823628017,70.79059992188897
2009-02-05,3.1589999198913574,3.190500020980835,3.031500101089477,3.057499885559082,203392000,2.915428536278861,69.96597913464777
