Date,Close,High,Low,Open,Volume,SMA_7,RSI_14
2012-05-18,37.99576187133789,44.724282100009326,37.76717155111898,41.79235618185496,573576400,,
2012-05-21,33.821495056152344,36.43538195928824,32.797807137508464,36.3061774150545,168192700,,
2012-05-22,30.81006622314453,33.384197714086056,30.75043436769169,32.4102025271521,101786600,,
2012-05-23,31.803937911987305,32.300874441862106,31.167859760359534,31.17779871843652,73600000,,
2012-05-24,32.8276252746582,33.00652272503711,31.57534691333061,32.748117403003555,50237200,,
2012-05-25,31.714488983154297,32.74811786863476,30.91939129867887,32.698424974228445,37149800,,
2012-05-29,28.663299560546875,31.49583819610612,28.474463145999607,31.28712386515125,78063400,32.519524982997346,
2012-05-30,28.01728057861328,29.36894657814204,27.689302562358076,28.524156039309936,57267900,31.09402765546526,
2012-05-31,29.418642044067383,29.48821285280686,26.66561329816687,28.375074225988158,111639200,30.46504865373884,
2012-06-01,27.550161361694336,28.97140018315004,27.222183317947824,28.7129929523706,41855500,29.999347959245956,
2012-06-04,26.735183715820312,27.480588476832004,26.278003038984394,27.03334675762239,35230300,29.275240216936385,
2012-06-05,25.711498260498047,27.589917836951688,25.59223265287856,26.53641286824006,42473400,28.258650643484934,
2012-06-06,26.645734786987305,27.00352967612063,25.363639593696767,25.91026898928395,61489200,27.534542901175364,
2012-06-07,26.1487979888916,27.182426814448583,25.989778461215497,26.83457088678374,26159500,27.175328390938894,21.179867512843785
2012-06-08,26.933961868286133,27.589917974302555,26.27800576226971,26.38733051616409,38034000,27.020568575177872,24.08011306201061
2012-06-11,26.844512939453125,27.898017905694356,26.675554434858185,27.013471444048065,28219600,26.652835845947266,29.78111111061979
2012-06-12,27.23212242126465,27.599856300470996,26.794817728720947,27.311632193030547,15816800,26.60740171160017,37.77173073405482
2012-06-13,27.102922439575195,27.92783711428889,26.93396392086696,27.49053237839769,17102800,26.659935814993723,32.92419148736285
2012-06-14,28.116670608520508,28.146485587977967,27.212244353173865,27.480590542265865,16855000,27.003531864711217,32.875724016155445
2012-06-15,29.82612991333008,29.915578637849663,28.176300832110293,28.335320365553475,43563800,27.457874025617325,43.42104703569543
2012-06-18,31.217554092407227,31.883451044587748,29.229807881387792,29.776437331153133,42978900,28.181982040405273,60.06265579602933
2012-06-19,31.714488983154297,31.982835162538155,30.51190349842741,31.346757014957813,30849000,28.86491448538644,64.73852526699483
2012-06-20,31.406391143798828,31.73436919937549,30.959147479074957,31.72443024064134,15553600,29.51661137172154,58.68057909786874
2012-06-21,31.644920349121094,32.30087645784274,31.31694229476027,31.47596184259203,21875300,30.147011075701034,70.85024127752092
2012-06-22,32.847503662109375,33.24505440006592,31.863571462220392,32.21142551443876,74834000,30.96766553606306,79.94163437939484
2012-06-25,31.863569259643555,32.81768641519591,31.356691914220733,32.65866688927051,24352900,31.50293677193778,80.25418166107849
2012-06-26,32.89720153808594,33.23511857912172,32.30087913217593,32.4897136760715,24858700,31.941661289760045,80.44534824379323
2012-06-27,32.032527923583984,32.698424838095654,31.704549893145536,32.26111826996118,28568000,32.0580861227853,77.66356399030116
2012-06-28,31.167858123779297,31.99277074856755,30.71067555455603,31.76418041178708,17713300,31.97999600001744,69.75881013880064
2012-06-29,30.90945053100586,31.793996890154933,30.571533560972263,31.724426083794302,19526900,31.90900448390416,68.67579449315922
2012-07-02,30.58147430419922,31.53559152542428,30.362821019255005,31.05853291481175,14122000,31.757083620343888,65.47291916431213
2012-07-03,31.008838653564453,31.24736794835651,30.611287933248704,30.72061457090177,8763600,31.494417190551758,67.56030654271643
